scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
305;2912,5;1412,5;529,25;150;1150;58,25;42,375;8,8893;59,3
306;2912,5;1412,5;529,25;150;1725;58,25;42,375;8,8893;89
307;2912,5;1412,5;635,1;50;575;58,25;42,375;13,335;29,7
308;2912,5;1412,5;635,1;50;1150;58,25;42,375;13,335;59,3
309;2912,5;1412,5;635,1;50;1725;58,25;42,375;13,335;89
310;2912,5;1412,5;635,1;100;575;58,25;42,375;13,335;29,7
311;2912,5;1412,5;635,1;100;1150;58,25;42,375;13,335;59,3
312;2912,5;1412,5;635,1;100;1725;58,25;42,375;13,335;89
313;2912,5;1412,5;635,1;150;575;58,25;42,375;13,335;29,7
314;2912,5;1412,5;635,1;150;1150;58,25;42,375;13,335;59,3
315;2912,5;1412,5;635,1;150;1725;58,25;42,375;13,335;89
